loc,year,month,unemployment,kospi,interest,rate,oilprice,productprice,consumerprice
서울특별시,2010,1,313,1682.1575,2,1139.80381,76.71380952,96.71,85.351
서울특별시,2010,2,305,1598.956316,2,1155.7375,73.5535,96.88,85.523
서울특별시,2010,3,273,1665.504091,2,1136.63087,77.36782609,97.33,85.696
서울특별시,2010,4,270,1730.286818,2,1116.079545,82.98409091,98.04,86.041
서울특별시,2010,5,224,1648.3,2,1166.815238,76.62,98.87,86.128
서울특별시,2010,6,226,1691.937143,2,1214.966364,73.98318182,98.98,86.041
서울특별시,2010,7,240,1731.122727,2.25,1205.300455,72.65227273,99.23,86.214
서울특별시,2010,8,228,1762.183636,2.25,1180.250455,74.345,99.53,86.647
서울특별시,2010,9,231,1815.749474,2.25,1161.346818,75.28636364,100.1,87.337
서울특별시,2010,10,244,1889.697143,2.25,1122.409048,80.34047619,100.47,87.337
서울특별시,2010,11,217,1924.707273,2.5,1130.445,83.74181818,100.82,86.906
서울특별시,2010,12,228,2002.504091,2.5,1145.521739,89.18478261,101.75,87.251
서울특별시,2011,1,252,2091.61,2.75,1119.141905,92.18666667,103.32,88.288
서울특별시,2011,2,280,2002.869412,2.75,1118.62,99.875,104.09,88.892
서울특별시,2011,3,292,2002.669091,3,1120.330435,108.5782609,105.34,89.238
서울특별시,2011,4,269,2153.132381,3,1083.782381,115.757619,105.99,89.325
서울특별시,2011,5,248,2121.872,3,1084.5,108.8395455,106.31,89.497
서울특별시,2011,6,242,2074.64381,3.25,1080.654545,107.5245455,106.07,89.67
서울특별시,2011,7,231,2150.05619,3.25,1058.032381,109.9833333,106.21,90.102
서울특별시,2011,8,232,1869.407727,3.25,1074.226087,104.9617391,106.35,90.707
서울특별시,2011,9,237,1790.9495,3.25,1120.352273,106.0018182,106.43,90.62
서울특별시,2011,10,216,1825.878,3.25,1151.752381,103.8842857,106.33,90.448
서울특별시,2011,11,214,1858.795455,3.25,1134.470455,108.5168182,105.99,90.534
서울특별시,2011,12,229,1863.23,3.25,1148.957727,106.2086364,106.09,90.879
서울특별시,2012,1,247,1891.0115,3.25,1142.177273,109.5368182,106.64,91.242
서울특별시,2012,2,293,2003.231429,3.25,1122.858571,116.1461905,107.37,91.588
서울특별시,2012,3,258,2023.407143,3.25,1126.563636,122.2759091,107.9,91.614
서울특별시,2012,4,238,1995.9195,3.25,1135.315238,117.3771429,107.95,91.605
서울특별시,2012,5,221,1886.350952,3.25,1158.306087,107.4456522,107.35,91.769
서울특별시,2012,6,231,1848.5995,3.25,1163.952857,94.23619048,106.05,91.639
서울특별시,2012,7,225,1826.75,3,1142.447727,99.22,105.58,91.432
서울특별시,2012,8,227,1918.912273,3,1132.352609,108.3908696,106.23,91.855
서울특별시,2012,9,215,1961.289,3,1123.7915,110.9645,106.61,92.512
서울특별시,2012,10,190,1942.19381,2.75,1106.275217,108.676087,105.78,92.339
서울특별시,2012,11,190,1904.703182,2.75,1087.390455,107.0959091,105.05,92.011
서울특별시,2012,12,180,1973.841667,2.75,1075.450952,105.6685714,104.79,92.175
서울특별시,2013,1,205,1986.103182,2.75,1066.762609,107.5430435,104.96,92.728
서울특별시,2013,2,242,1979.854737,2.75,1087.611,111.221,105.68,93.038
서울특별시,2013,3,266,1990.243,2.75,1103.187619,105.482381,105.26,92.952
서울특별시,2013,4,226,1938.884091,2.75,1121.374545,101.6613636,104.93,92.823
서울특별시,2013,5,228,1974.45381,2.5,1112.584783,100.2991304,104.57,92.823
서울특별시,2013,6,210,1884.412632,2.5,1135.252,100.3285,104.55,92.71
서울특별시,2013,7,196,1871.768261,2.5,1126.256957,103.3621739,104.53,92.909
서울특별시,2013,8,200,1896.961905,2.5,1116.409545,106.6645455,104.82,93.238
서울특별시,2013,9,182,1984.394444,2.5,1083.637143,108.4047619,104.71,93.419
서울특별시,2013,10,184,2029.675238,2.5,1066.651304,106.3943478,104.34,93.134
서울특별시,2013,11,191,2009.924286,2.5,1062.485238,105.8538095,104.13,93.116
서울특별시,2013,12,189,1989.429524,2.5,1056.265,107.9431818,104.37,93.229
서울특별시,2014,1,203,1948.2195,2.5,1066.654348,104.1886957,104.65,93.73
서울특별시,2014,2,275,1937.733,2.5,1071.221,104.942,104.78,93.98
서울특별시,2014,3,253,1952.429524,2.5,1071.035714,104.1495238,104.74,94.153
서울특별시,2014,4,266,1991.191364,2.5,1043.006818,104.7772727,104.58,94.214
서울특별시,2014,5,259,1994.134737,2.5,1025.186818,105.5145455,104.56,94.369
서울특별시,2014,6,239,1995.083684,2.5,1019.236667,108.007619,104.61,94.248
서울특별시,2014,7,249,2021.952174,2.5,1020.868696,105.7052174,104.69,94.386
서울특별시,2014,8,230,2060.9335,2.25,1024.635714,101.8538095,104.58,94.551
서울특별시,2014,9,235,2042.710526,2.25,1035.239091,96.98818182,104.2,94.49
서울특별시,2014,10,243,1942.802857,2,1061.754348,86.71608696,103.47,94.205
서울특별시,2014,11,205,1959.647,2,1099.401,76.7345,103.15,94.015
서울특별시,2014,12,223,1941.925714,2,1103.516957,60.39173913,102.14,94.006
서울특별시,2015,1,232,1920.992857,2,1088.495,46.335,100.89,94.643
서울특별시,2015,2,252,1961.001176,2,1101.393,56.15,100.96,94.587
서울특별시,2015,3,253,2012.619091,1.75,1113.582727,54.90909091,100.84,94.596
서울특별시,2015,4,254,2107.268182,1.75,1085.655909,58.66545455,100.8,94.625
서울특별시,2015,5,234,2114.898889,1.75,1093.840476,63.6747619,100.87,94.89
서울특별시,2015,6,253,2063.685909,1.5,1113.589545,61.75863636,100.82,94.909
서울특별시,2015,7,224,2058.034348,1.5,1146.973478,56.26608696,100.45,95.08
서울특별시,2015,8,209,1952.549,1.5,1178.515714,47.30333333,99.83,95.213
서울특별시,2015,9,207,1939.5825,1.5,1186.573182,46.14454545,99.39,94.966
서울특별시,2015,10,191,2020.567143,1.5,1144.767727,46.55181818,98.71,94.966
서울특별시,2015,11,191,2006.780952,1.5,1153.757143,42.32333333,98.32,94.786
서울특별시,2015,12,209,1971.528571,1.5,1173.71087,34.7026087,98.09,95.07
서울특별시,2016,1,216,1894.651,1.5,1202.972381,27.24666667,97.56,95.232
서울특별시,2016,2,283,1900.61,1.5,1216.219524,29.6147619,97.56,95.64
서울특별시,2016,3,254,1976.502727,1.5,1182.438261,35.17304348,97.5,95.393
서울특별시,2016,4,229,1996.1705,1.5,1147.218095,39.03761905,97.74,95.573
서울특별시,2016,5,231,1966.6755,1.5,1176.088636,43.96454545,97.86,95.63
서울특별시,2016,6,218,1977.029524,1.25,1165.404545,45.83454545,98.09,95.611
서울특별시,2016,7,206,2002.482857,1.25,1142.05619,42.70952381,97.98,95.431
