year,month,Close
2010,1,1139.8038095238096
2010,2,1155.7375
2010,3,1136.6308695652174
2010,4,1116.0795454545455
2010,5,1166.815238095238
2010,6,1214.9663636363637
2010,7,1205.3004545454546
2010,8,1180.2504545454544
2010,9,1161.3468181818182
2010,10,1122.4090476190477
2010,11,1130.445
2010,12,1145.5217391304348
2011,1,1119.1419047619047
2011,2,1118.6200000000001
2011,3,1120.3304347826086
2011,4,1083.782380952381
2011,5,1084.5
2011,6,1080.6545454545455
2011,7,1058.032380952381
2011,8,1074.2260869565218
2011,9,1120.3522727272727
2011,10,1151.752380952381
2011,11,1134.4704545454545
2011,12,1148.9577272727272
2012,1,1142.1772727272728
2012,2,1122.8585714285714
2012,3,1126.5636363636365
2012,4,1135.315238095238
2012,5,1158.3060869565218
2012,6,1163.952857142857
2012,7,1142.4477272727272
2012,8,1132.3526086956522
2012,9,1123.7915
2012,10,1106.2752173913045
2012,11,1087.3904545454545
2012,12,1075.4509523809525
2013,1,1066.7626086956523
2013,2,1087.611
2013,3,1103.187619047619
2013,4,1121.3745454545456
2013,5,1112.5847826086956
2013,6,1135.252
2013,7,1126.256956521739
2013,8,1116.4095454545454
2013,9,1083.6371428571429
2013,10,1066.651304347826
2013,11,1062.485238095238
2013,12,1056.265
2014,1,1066.654347826087
2014,2,1071.221
2014,3,1071.0357142857142
2014,4,1043.0068181818183
2014,5,1025.1868181818181
2014,6,1019.2366666666667
2014,7,1020.8686956521739
2014,8,1024.6357142857141
2014,9,1035.239090909091
2014,10,1061.7543478260868
2014,11,1099.401
2014,12,1103.516956521739
2015,1,1088.495
2015,2,1101.393
2015,3,1113.5827272727272
2015,4,1085.655909090909
2015,5,1093.8404761904762
2015,6,1113.5895454545455
2015,7,1146.9734782608696
2015,8,1178.5157142857145
2015,9,1186.5731818181819
2015,10,1144.7677272727271
2015,11,1153.757142857143
2015,12,1173.7108695652173
2016,1,1202.972380952381
2016,2,1216.219523809524
2016,3,1182.438260869565
2016,4,1147.2180952380954
2016,5,1176.0886363636364
2016,6,1165.4045454545455
2016,7,1142.0561904761905
2016,8,1111.3473913043476
2016,9,1108.909090909091
2016,10,1127.7866666666666
2016,11,1164.2336363636364
2016,12,1184.5827272727272
2017,1,1180.8154545454547
2017,2,1141.849
2017,3,1133.3973913043478
2017,4,1134.694
2017,5,1125.866956521739
2017,6,1131.4977272727274
2017,7,1133.1995238095237
2017,8,1131.25
2017,9,1133.7014285714286
2017,10,1133.3359090909091
2017,11,1101.9486363636363
2017,12,1083.732857142857
2018,1,1067.0682608695652
2018,2,1079.6280000000002
2018,3,1071.0363636363636
2018,4,1068.8457142857142
2018,5,1077.2634782608695
2018,6,1095.5957142857144
2018,7,1122.5636363636365
2018,8,1121.0004347826089
2018,9,1119.7385
2018,10,1133.335652173913
2018,11,1126.2722727272728
2018,12,1123.0333333333333
2019,1,1121.09
2019,2,1122.5149999999999
2019,3,1132.1566666666668
2019,4,1141.8631818181818
2019,5,1182.468695652174
2019,6,1171.5625
2019,7,1176.6073913043479
2019,8,1209.8372727272726
2019,9,1194.5700000000002
2019,10,1182.7695652173913
2019,11,1167.9838095238094
2019,12,1172.2227272727273
2020,1,1166.1978260869564
2020,2,1194.2905
2020,3,1217.2504545454544
2020,4,1222.331818181818
2020,5,1228.864761904762
2020,6,1207.2
2020,7,1198.158260869565
2020,8,1186.2457142857143
2020,9,1177.3272727272727
2020,10,1144.080909090909
2020,11,1114.4576190476191
2020,12,1093.8778260869565
2021,1,1098.499523809524
2021,2,1110.7585
2021,3,1129.9760869565218
2021,4,1117.829090909091
2021,5,1122.6019047619047
2021,6,1122.9613636363638
2021,7,1144.965
2021,8,1160.2077272727272
2021,9,1172.8422727272728
2021,10,1181.6085714285714
2021,11,1184.1136363636363
2021,12,1184.0204347826088
2022,1,1195.54
2022,2,1197.633
2022,3,1220.2265217391305
2022,4,1236.8023809523809
2022,5,1265.925909090909
