시점,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자
시점,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2010-1,1218,313,81,75,85,32,34,23,-,295,32,26,44,22,36,62,53,8,724,200,51,41,46,16,19,16,-,174,21,17,27,14,17,32,29,4,493,113,30,33,39,16,15,7,-,120,11,9,17,8,18,30,23,4
2010-2,1170,305,73,58,88,29,36,22,-,311,27,24,43,24,21,52,50,7,712,194,47,35,50,15,21,14,-,193,17,17,25,17,8,30,27,3,458,110,26,23,37,14,15,9,-,118,10,7,18,8,13,22,24,4
2010-3,1007,273,64,53,75,29,28,23,-,258,23,15,26,24,18,42,51,5,635,174,44,36,45,18,18,17,-,156,17,11,18,17,11,26,26,2,372,100,20,17,30,11,10,6,-,102,6,4,9,7,7,16,24,3
2010-4,936,270,62,44,67,31,29,21,-,224,15,16,28,18,18,42,44,7,613,186,44,26,43,19,16,16,-,139,11,11,20,12,14,25,28,3,323,85,18,17,25,12,13,5,-,85,4,5,7,6,5,17,16,4
2010-5,798,224,50,43,57,26,22,17,-,195,14,14,28,16,13,35,39,6,523,151,37,25,37,17,10,12,-,123,10,10,21,12,7,20,28,3,275,73,13,17,20,9,12,5,-,72,4,4,6,5,7,15,10,3
2010-6,878,226,55,46,61,28,26,19,-,256,11,11,24,19,17,31,46,4,566,150,35,28,38,17,13,14,-,170,7,8,16,11,8,18,31,2,312,76,20,18,23,12,13,5,-,86,4,3,8,7,9,12,15,2
2010-7,936,240,61,51,68,24,31,19,-,253,15,16,33,20,20,29,51,5,599,153,39,32,42,17,17,13,-,173,10,8,20,13,11,15,35,3,337,87,23,20,27,7,15,6,-,80,5,8,13,6,9,14,16,2
2010-8,836,228,52,38,59,25,25,15,-,215,14,15,27,15,23,39,42,4,527,150,35,23,36,17,11,10,-,138,9,8,17,9,12,23,28,3,309,79,17,15,23,8,14,5,-,78,5,7,11,6,11,16,15,2
2010-9,864,231,59,46,68,20,18,18,-,210,17,16,36,18,17,35,48,5,521,147,36,30,41,12,9,10,-,122,11,8,23,11,10,20,28,3,343,83,23,17,27,9,9,8,-,88,6,8,13,8,8,15,20,2
